Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-blocked,101,-101,1267
fan-blocked,-13,27,1052
fan-blocked,7,3,1015
fan-blocked,42,1,1091
fan-blocked,5,31,1015
fan-blocked,17,19,1011
fan-blocked,13,17,1044
fan-blocked,-1,25,1066
fan-blocked,5,7,1056
fan-blocked,76,3,1070
fan-blocked,7,35,1050
fan-blocked,-13,13,1089
fan-blocked,27,5,1058
fan-blocked,37,5,1041
fan-blocked,13,5,1068
fan-blocked,33,9,1072
fan-blocked,5,11,1066
fan-blocked,-3,25,1044
fan-blocked,-3,-17,1042
fan-blocked,60,23,1060
fan-blocked,-3,37,1037
fan-blocked,-11,1,1044
fan-blocked,52,7,1082
fan-blocked,0,3,1019
fan-blocked,11,25,1041
fan-blocked,19,13,1037
fan-blocked,19,25,1025
fan-blocked,11,-9,1083
fan-blocked,11,29,982
fan-blocked,17,21,1037
fan-blocked,31,27,1068
fan-blocked,9,-9,1023
fan-blocked,11,33,1060
fan-blocked,17,13,1048
fan-blocked,11,13,1052
fan-blocked,72,5,1097
fan-blocked,15,1,1054
fan-blocked,11,21,1074
fan-blocked,3,11,1050
fan-blocked,25,44,1019
fan-blocked,41,-17,1080
fan-blocked,27,37,1009
fan-blocked,-1,39,1066
fan-blocked,15,-17,1056
fan-blocked,17,41,1087
fan-blocked,9,15,1003
fan-blocked,46,23,1056
fan-blocked,1,37,1037
fan-blocked,0,31,1066
fan-blocked,-3,31,1005
fan-blocked,29,11,1035
fan-blocked,3,11,1044
fan-blocked,-1,9,1031
fan-blocked,15,23,1041
fan-blocked,9,3,1062
fan-blocked,-5,23,1015
fan-blocked,52,7,1074
fan-blocked,23,31,1029
fan-blocked,0,35,1046
fan-blocked,17,11,1074
fan-blocked,33,17,1056
fan-blocked,35,11,1076
fan-blocked,31,17,1041
fan-blocked,7,9,1085
fan-blocked,-1,35,1076
fan-blocked,-226,123,1357
fan-blocked,371,-316,1406
fan-blocked,82,-66,1291
fan-blocked,-1,5,1044
fan-blocked,23,21,1011
fan-blocked,-5,9,1021
fan-blocked,7,21,1091
fan-blocked,31,-11,1080
fan-blocked,7,-17,1144
fan-blocked,0,-3,1054
fan-blocked,19,-1,1062
fan-blocked,876,-9,945
fan-blocked,1005,-171,916
fan-blocked,119,-50,953
fan-blocked,-191,52,873
fan-blocked,-226,50,982
fan-blocked,-208,37,1085
fan-blocked,-1611,1158,1845
fan-blocked,-95,-138,259
fan-blocked,121,130,322
fan-blocked,-107,-89,1375
fan-blocked,-972,-289,1458
fan-blocked,173,91,648
fan-blocked,146,115,863
