Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-trans,21,-89,1027
fan-trans,19,19,1041
fan-trans,7,9,1042
fan-trans,9,19,1062
fan-trans,7,13,1042
fan-trans,3,17,1052
fan-trans,9,7,1050
fan-trans,3,13,1056
fan-trans,5,15,1048
fan-trans,1,19,1042
fan-trans,9,13,1048
fan-trans,11,15,1052
fan-trans,5,9,1046
fan-trans,7,23,1044
fan-trans,3,17,1058
fan-trans,5,19,1054
fan-trans,1,23,1050
fan-trans,1,21,1050
fan-trans,1,19,1041
fan-trans,3,15,1042
fan-trans,1,19,1044
fan-trans,3,19,1056
fan-trans,9,15,1052
fan-trans,7,19,1052
fan-trans,5,17,1052
fan-trans,7,19,1050
fan-trans,0,15,1054
fan-trans,7,21,1052
fan-trans,5,13,1050
fan-trans,5,17,1052
fan-trans,0,19,1054
fan-trans,1,23,1054
fan-trans,5,17,1044
fan-trans,5,17,1056
fan-trans,1,11,1042
fan-trans,3,21,1052
fan-trans,0,17,1052
fan-trans,5,15,1048
fan-trans,7,19,1044
fan-trans,3,21,1056
fan-trans,1,3,1054
fan-trans,3,17,1052
fan-trans,1,19,1044
fan-trans,0,15,1052
fan-trans,3,9,1042
fan-trans,9,21,1041
fan-trans,1,13,1050
fan-trans,3,21,1060
fan-trans,5,17,1052
fan-trans,9,13,1050
fan-trans,1,13,1050
fan-trans,7,17,1048
fan-trans,3,21,1052
fan-trans,3,11,1044
fan-trans,9,19,1044
fan-trans,1,9,1054
fan-trans,5,11,1048
fan-trans,5,21,1050
fan-trans,13,3,1054
fan-trans,3,19,1052
fan-trans,7,15,1046
fan-trans,5,19,1046
fan-trans,7,19,1052
fan-trans,5,11,1056
fan-trans,105,13,857
fan-trans,119,-593,1197
fan-trans,220,15,1080
fan-trans,-52,-5,1050
fan-trans,19,41,1072
fan-trans,0,13,1009
fan-trans,31,11,1107
fan-trans,5,15,1013
fan-trans,5,25,1054
fan-trans,7,13,1050
fan-trans,11,17,1058
fan-trans,1,17,1027
fan-trans,0,27,1039
fan-trans,-7,52,949
fan-trans,62,-85,1183
fan-trans,13,-31,1099
fan-trans,0,41,1017
fan-trans,0,-5,1099
fan-trans,25,-21,1056
fan-trans,17,11,1044
fan-trans,56,-41,1044
fan-trans,9,39,1048
fan-trans,15,23,1046
fan-trans,9,19,1044
fan-trans,1,19,1056
fan-trans,1,7,1027
fan-trans,23,23,1056
fan-trans,1,15,1052
fan-trans,9,11,1054
fan-trans,1,23,1056
fan-trans,7,7,1054
fan-trans,5,13,1052
fan-trans,11,23,1048
fan-trans,11,17,1050
fan-trans,1,21,1044
fan-trans,3,13,1062
fan-trans,7,17,1054
fan-trans,5,19,1042
fan-trans,5,11,1052
fan-trans,3,15,1050
fan-trans,13,23,1050
fan-trans,11,21,1050
fan-trans,9,19,1066
fan-trans,7,17,1058
fan-trans,9,15,1050
fan-trans,1,21,1056
fan-trans,1,13,1042
fan-trans,7,11,1044
fan-trans,7,19,1046
fan-trans,7,11,1052
fan-trans,17,19,1042
fan-trans,9,15,1058
fan-trans,9,17,1044
fan-trans,13,19,1041
fan-trans,7,9,1058
fan-trans,3,21,1052
fan-trans,9,21,1050
fan-trans,1,17,1048
fan-trans,7,21,1046
fan-trans,5,17,1048
fan-trans,13,21,1052
fan-trans,5,11,1050
fan-trans,5,15,1052
fan-trans,5,21,1046
fan-trans,3,9,1048
fan-trans,7,19,1041
fan-trans,9,15,1046
fan-trans,9,15,1048
fan-trans,3,15,1042
fan-trans,7,21,1062
fan-trans,9,15,1042
fan-trans,5,5,1041
fan-trans,1,21,1027
fan-trans,7,17,1054
fan-trans,7,15,1041
fan-trans,7,21,1054
fan-trans,7,11,1056
fan-trans,15,21,1050
