Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-on,-33,205,742
fan-on,31,3,1041
fan-on,35,-3,1011
fan-on,21,-41,1062
fan-on,11,33,1009
fan-on,25,27,1003
fan-on,17,-29,1072
fan-on,3,5,1046
fan-on,25,5,1083
fan-on,3,19,1054
fan-on,3,1,1019
fan-on,19,5,1056
fan-on,27,-23,1080
fan-on,15,-5,1041
fan-on,-1,29,1013
fan-on,21,0,1097
fan-on,3,-5,1046
fan-on,31,13,1058
fan-on,-1,-17,1044
fan-on,-9,9,1001
fan-on,19,27,1037
fan-on,3,23,1050
fan-on,21,1,1082
fan-on,5,-9,1035
fan-on,35,-29,1080
fan-on,11,-7,1027
fan-on,5,-3,1009
fan-on,25,13,1056
fan-on,27,-33,1052
fan-on,23,-5,1066
fan-on,27,-23,1050
fan-on,17,-1,1039
fan-on,11,-19,1066
fan-on,15,-15,1023
fan-on,37,9,1050
fan-on,21,-13,1009
fan-on,17,-27,1093
fan-on,37,-19,1083
fan-on,27,15,1041
fan-on,17,7,1041
fan-on,31,9,1056
fan-on,33,21,1099
fan-on,23,3,1074
fan-on,29,31,1072
fan-on,25,0,1093
fan-on,21,-13,1042
fan-on,5,-33,996
fan-on,21,1,1048
fan-on,17,-17,1025
fan-on,31,11,1060
fan-on,31,25,1111
fan-on,25,-5,1091
fan-on,0,-5,1001
fan-on,-3,-1,990
fan-on,-337,171,1230
fan-on,-48,175,539
fan-on,-25,60,1005
fan-on,41,46,980
fan-on,5,-80,1130
fan-on,-11,-17,962
fan-on,-31,83,927
fan-on,-29,144,865
fan-on,-29,83,943
fan-on,41,31,917
fan-on,265,-449,1625
fan-on,21,-277,1429
fan-on,160,70,875
fan-on,99,54,933
fan-on,46,5,1037
fan-on,29,-35,1087
fan-on,0,1,1041
fan-on,-11,66,992
fan-on,-5,19,998
fan-on,-5,-39,1050
fan-on,21,-37,1044
fan-on,31,-1,1095
fan-on,50,11,1072
fan-on,64,-1,1007
fan-on,15,-33,1199
fan-on,33,-17,1111
fan-on,29,-11,1005
fan-on,0,15,1025
fan-on,9,39,976
fan-on,11,13,1000
fan-on,37,9,1068
fan-on,25,-13,1076
fan-on,21,-31,1103
fan-on,27,-3,1058
fan-on,21,-5,1023
fan-on,29,0,1076
fan-on,9,-5,1078
fan-on,39,23,1031
fan-on,7,27,1033
fan-on,0,5,1056
fan-on,19,9,1031
fan-on,1,-17,1003
fan-on,44,-3,1064
fan-on,48,1,1123
fan-on,1,-3,1085
fan-on,3,21,1001
fan-on,9,25,1023
fan-on,17,11,1048
fan-on,23,-3,1035
fan-on,21,7,1068
fan-on,3,-33,1017
fan-on,3,-33,1095
fan-on,23,7,1027
fan-on,5,-7,1023
