Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-blocked,-13,-68,970
fan-blocked,58,-35,1095
fan-blocked,33,15,996
fan-blocked,-25,15,1011
fan-blocked,-25,23,1054
fan-blocked,19,21,1044
fan-blocked,42,15,1033
fan-blocked,29,27,1027
fan-blocked,0,17,1062
fan-blocked,0,7,1029
fan-blocked,5,31,1083
fan-blocked,27,11,1041
fan-blocked,37,21,1056
fan-blocked,19,1,1058
fan-blocked,-3,11,1025
fan-blocked,9,25,1066
fan-blocked,27,-11,1066
fan-blocked,46,3,1078
fan-blocked,31,13,1035
fan-blocked,-13,-1,1066
fan-blocked,11,13,1058
fan-blocked,23,9,1062
fan-blocked,33,1,1056
fan-blocked,33,21,1041
fan-blocked,-27,-1,1039
fan-blocked,-3,31,1017
fan-blocked,39,13,1068
fan-blocked,19,0,1062
fan-blocked,35,-3,1062
fan-blocked,3,9,1035
fan-blocked,-23,-1,1056
fan-blocked,17,13,1080
fan-blocked,46,0,1066
fan-blocked,27,31,1035
fan-blocked,-5,15,1062
fan-blocked,-5,-1,1027
fan-blocked,17,23,1080
fan-blocked,13,15,1041
fan-blocked,41,11,1054
fan-blocked,13,21,1031
fan-blocked,-3,17,1076
fan-blocked,9,0,1082
fan-blocked,41,25,1015
fan-blocked,7,11,1076
fan-blocked,15,-19,1072
fan-blocked,-3,15,1052
fan-blocked,0,3,1039
fan-blocked,27,25,1023
fan-blocked,19,3,1033
fan-blocked,44,11,1060
fan-blocked,-1,3,1068
fan-blocked,-3,21,1064
fan-blocked,19,7,1078
fan-blocked,31,-1,1046
fan-blocked,44,19,1066
fan-blocked,3,9,1068
fan-blocked,-5,-5,1029
fan-blocked,15,21,1068
fan-blocked,121,162,562
fan-blocked,179,648,-11
fan-blocked,-44,113,765
fan-blocked,-29,56,974
fan-blocked,-13,76,966
fan-blocked,31,19,1076
fan-blocked,41,42,978
fan-blocked,-19,117,896
fan-blocked,-56,95,925
fan-blocked,-35,99,964
