Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-trans,68,-15,1037
fan-trans,33,-7,1031
fan-trans,23,-5,1050
fan-trans,31,-19,1062
fan-trans,29,-1,1041
fan-trans,23,11,1058
fan-trans,27,-7,1046
fan-trans,31,-3,1050
fan-trans,25,15,1054
fan-trans,27,3,1064
fan-trans,37,-11,1052
fan-trans,27,5,1054
fan-trans,29,-1,1048
fan-trans,35,-11,1041
fan-trans,29,1,1046
fan-trans,27,-1,1054
fan-trans,31,13,1046
fan-trans,25,-1,1054
fan-trans,27,-5,1054
fan-trans,27,9,1056
fan-trans,21,17,1039
fan-trans,25,1,1058
fan-trans,25,5,1050
fan-trans,29,-1,1052
fan-trans,21,0,1050
fan-trans,21,1,1056
fan-trans,27,-1,1050
fan-trans,15,17,1050
fan-trans,21,-9,1039
fan-trans,21,1,1052
fan-trans,25,15,1048
fan-trans,19,-1,1060
fan-trans,23,13,1046
fan-trans,25,5,1056
fan-trans,25,0,1058
fan-trans,21,7,1046
fan-trans,19,1,1066
fan-trans,27,5,1056
fan-trans,23,-7,1054
fan-trans,21,-3,1058
fan-trans,25,9,1048
fan-trans,21,-1,1046
fan-trans,25,1,1050
fan-trans,23,7,1048
fan-trans,25,3,1046
fan-trans,25,0,1054
fan-trans,27,-1,1052
fan-trans,23,-1,1060
fan-trans,31,3,1044
fan-trans,27,-3,1035
fan-trans,27,1,1052
fan-trans,21,-9,1050
fan-trans,29,-1,1042
fan-trans,31,-5,1050
fan-trans,27,-7,1044
fan-trans,29,-9,1060
fan-trans,27,-3,1046
fan-trans,27,1,1052
fan-trans,33,-1,1048
fan-trans,33,-7,1044
fan-trans,29,13,1050
fan-trans,33,7,1046
fan-trans,33,-11,1046
fan-trans,164,-3,957
fan-trans,11,17,1101
fan-trans,23,-1,1023
fan-trans,44,1,1060
fan-trans,31,-5,1039
fan-trans,31,9,1056
fan-trans,31,0,1035
fan-trans,27,-5,1062
fan-trans,29,9,1046
fan-trans,39,-7,1039
fan-trans,23,5,1070
fan-trans,27,5,1039
fan-trans,29,3,1056
fan-trans,23,5,1048
fan-trans,21,-1,1054
fan-trans,31,9,1060
fan-trans,31,0,1041
fan-trans,23,5,1046
fan-trans,21,21,1042
fan-trans,27,1,1050
fan-trans,29,-21,1085
fan-trans,19,-19,1062
fan-trans,29,3,1025
fan-trans,27,15,1046
fan-trans,37,-3,1056
fan-trans,29,5,1039
fan-trans,23,-5,1060
fan-trans,17,3,1029
fan-trans,29,9,1048
fan-trans,27,-5,1068
fan-trans,23,3,1041
fan-trans,25,-5,1056
fan-trans,23,5,1064
fan-trans,33,-3,1056
fan-trans,23,9,1044
fan-trans,33,0,1056
fan-trans,42,11,1054
fan-trans,25,19,1044
fan-trans,35,3,1052
fan-trans,29,-13,1042
fan-trans,35,15,1046
fan-trans,29,1,1050
fan-trans,21,3,1021
fan-trans,33,13,1068
fan-trans,23,-15,1033
fan-trans,33,7,1044
fan-trans,23,13,1048
fan-trans,25,-19,1060
fan-trans,29,13,1037
fan-trans,41,-11,1074
fan-trans,27,3,1021
fan-trans,29,11,1042
fan-trans,17,27,1015
fan-trans,0,41,953
fan-trans,-1,33,994
fan-trans,201,-503,1361
fan-trans,-25,44,1054
fan-trans,44,27,1046
fan-trans,37,-1,1050
fan-trans,35,21,1085
