Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-blocked,111,-101,1179
fan-blocked,-7,42,988
fan-blocked,17,15,1058
fan-blocked,72,-9,1072
fan-blocked,3,3,1058
fan-blocked,-9,9,1041
fan-blocked,41,15,1103
fan-blocked,48,17,1019
fan-blocked,31,27,1074
fan-blocked,1,-25,1080
fan-blocked,7,11,1027
fan-blocked,15,29,1035
fan-blocked,25,9,1033
fan-blocked,64,27,1076
fan-blocked,27,3,1054
fan-blocked,-17,7,1035
fan-blocked,25,7,1046
fan-blocked,74,1,1074
fan-blocked,35,46,1050
fan-blocked,0,0,1064
fan-blocked,-1,5,1062
fan-blocked,13,27,1062
fan-blocked,44,9,1029
fan-blocked,52,39,1058
fan-blocked,13,5,1035
fan-blocked,19,-1,1068
fan-blocked,3,3,1029
fan-blocked,25,23,1064
fan-blocked,15,35,1050
fan-blocked,42,17,1019
fan-blocked,9,-1,1050
fan-blocked,-9,27,1023
fan-blocked,35,0,1082
fan-blocked,44,13,1041
fan-blocked,17,21,1062
fan-blocked,7,-19,1052
fan-blocked,25,1,1060
fan-blocked,1,19,1058
fan-blocked,82,3,1093
fan-blocked,58,35,1046
fan-blocked,-29,15,1035
fan-blocked,11,11,1050
fan-blocked,62,13,1074
fan-blocked,21,13,1033
fan-blocked,7,-19,1046
fan-blocked,0,9,1044
fan-blocked,13,-3,1064
fan-blocked,-19,-1,1007
fan-blocked,41,7,1082
fan-blocked,76,23,1080
fan-blocked,7,1,1062
fan-blocked,11,-7,1072
fan-blocked,39,11,1025
fan-blocked,9,19,1072
fan-blocked,13,33,1056
fan-blocked,48,13,1033
fan-blocked,7,-7,1062
fan-blocked,-3,23,1029
fan-blocked,54,11,1072
fan-blocked,60,37,1089
fan-blocked,11,-9,1058
fan-blocked,15,-11,1052
fan-blocked,-1,11,1035
fan-blocked,11,-9,1078
fan-blocked,17,11,1064
fan-blocked,162,197,515
fan-blocked,105,-60,1371
fan-blocked,-109,248,687
fan-blocked,-19,46,1132
fan-blocked,85,412,863
fan-blocked,550,54,1156
fan-blocked,234,224,927
fan-blocked,-64,-68,1054
fan-blocked,-11,3,1023
fan-blocked,27,33,1025
fan-blocked,23,25,1058
fan-blocked,54,39,1017
fan-blocked,5,21,1033
fan-blocked,7,19,1023
fan-blocked,9,9,1062
fan-blocked,41,17,1025
fan-blocked,35,21,1109
fan-blocked,7,1,1101
fan-blocked,-1,-5,1023
fan-blocked,19,23,945
fan-blocked,44,33,1027
fan-blocked,19,25,1052
fan-blocked,1,9,1080
fan-blocked,-1,-15,1095
fan-blocked,15,-7,1105
fan-blocked,39,25,943
fan-blocked,64,44,1046
fan-blocked,35,25,1076
fan-blocked,-21,-25,1093
fan-blocked,-7,-15,978
fan-blocked,41,25,1017
fan-blocked,66,25,1154
fan-blocked,52,21,998
fan-blocked,3,19,1013
fan-blocked,0,-17,1095
fan-blocked,15,17,1083
fan-blocked,68,33,1031
fan-blocked,70,23,1062
fan-blocked,-17,-33,1062
fan-blocked,-5,-3,1023
fan-blocked,17,17,1068
fan-blocked,72,39,1019
fan-blocked,66,25,1099
fan-blocked,0,9,1023
fan-blocked,5,0,1070
fan-blocked,33,9,1095
fan-blocked,9,19,1052
fan-blocked,50,19,1027
fan-blocked,48,23,1041
fan-blocked,-27,-21,1091
fan-blocked,9,5,1074
fan-blocked,56,31,982
fan-blocked,42,23,1089
fan-blocked,46,11,1091
fan-blocked,7,11,1041
fan-blocked,0,-7,1007
fan-blocked,46,25,1093
fan-blocked,70,25,982
fan-blocked,39,25,1017
fan-blocked,3,13,1074
fan-blocked,-7,-21,1037
fan-blocked,19,15,1017
fan-blocked,23,25,1082
fan-blocked,58,23,1058
fan-blocked,39,21,1076
fan-blocked,13,3,1029
fan-blocked,-9,-21,1087
fan-blocked,29,23,1068
fan-blocked,70,29,1048
fan-blocked,27,23,1001
fan-blocked,-17,-11,1052
fan-blocked,7,3,1076
fan-blocked,46,25,1031
fan-blocked,58,25,1060
fan-blocked,25,17,1058
fan-blocked,-3,-7,1025
fan-blocked,-1,-3,1025
fan-blocked,25,17,1042
fan-blocked,42,35,1058
fan-blocked,35,21,1042
fan-blocked,9,15,1068
fan-blocked,-1,-21,1025
fan-blocked,3,11,1085
fan-blocked,48,25,1048
fan-blocked,58,27,1064
fan-blocked,7,7,1041
fan-blocked,-1,-19,1031
fan-blocked,-1,-13,1076
fan-blocked,48,25,1044
fan-blocked,68,25,1021
fan-blocked,15,19,1089
fan-blocked,7,1,1039
fan-blocked,11,0,1031
fan-blocked,35,25,1041
fan-blocked,68,23,1039
fan-blocked,33,21,1064
fan-blocked,-5,-3,1050
fan-blocked,13,11,1039
fan-blocked,48,21,1048
fan-blocked,54,25,1076
fan-blocked,21,5,1029
fan-blocked,0,17,1062
fan-blocked,0,7,1023
fan-blocked,41,23,1035
fan-blocked,31,23,1031
fan-blocked,23,11,1074
fan-blocked,33,21,1062
fan-blocked,0,-17,1042
fan-blocked,17,21,1044
fan-blocked,31,25,1078
fan-blocked,42,9,1009
fan-blocked,19,19,1080
fan-blocked,0,0,1058
fan-blocked,-7,-25,1093
fan-blocked,60,39,1025
fan-blocked,35,29,1039
fan-blocked,39,17,1035
fan-blocked,-1,-11,1058
fan-blocked,5,9,1070
fan-blocked,42,25,1027
fan-blocked,72,27,1039
fan-blocked,23,19,1062
fan-blocked,23,13,1068
fan-blocked,1,-7,1048
fan-blocked,13,19,1033
fan-blocked,60,27,1056
fan-blocked,39,17,1041
fan-blocked,11,5,1091
fan-blocked,-9,-9,1042
fan-blocked,21,15,1052
fan-blocked,74,27,1009
fan-blocked,31,15,1062
fan-blocked,1,11,1060
fan-blocked,5,-3,1023
fan-blocked,9,7,1048
fan-blocked,48,23,1056
fan-blocked,48,25,1052
fan-blocked,13,11,1029
fan-blocked,1,1,996
fan-blocked,0,-5,1062
fan-blocked,23,17,1070
fan-blocked,39,23,1027
fan-blocked,44,21,1054
fan-blocked,3,1,1035
fan-blocked,11,3,1046
fan-blocked,39,27,1031
fan-blocked,58,29,1074
fan-blocked,19,13,1035
fan-blocked,5,7,1076
fan-blocked,0,0,1000
fan-blocked,52,21,1033
fan-blocked,39,27,1078
fan-blocked,-7,-9,1035
fan-blocked,33,21,1060
fan-blocked,0,3,1003
fan-blocked,15,15,1083
fan-blocked,68,23,1029
fan-blocked,56,27,1056
fan-blocked,-1,7,1080
fan-blocked,0,-5,994
fan-blocked,44,31,1033
fan-blocked,50,25,1058
fan-blocked,44,25,1054
fan-blocked,0,-1,1078
fan-blocked,0,-1,1052
fan-blocked,15,13,1056
fan-blocked,50,23,1046
fan-blocked,46,27,1068
fan-blocked,19,19,1021
fan-blocked,7,1,1089
fan-blocked,-5,-9,1017
fan-blocked,37,25,1064
fan-blocked,68,31,1048
fan-blocked,11,9,1054
fan-blocked,3,9,1064
fan-blocked,-3,1,1027
fan-blocked,52,33,1007
fan-blocked,41,25,1076
fan-blocked,19,7,1035
fan-blocked,0,-3,1044
fan-blocked,7,9,1064
fan-blocked,3,0,1068
fan-blocked,48,31,1025
fan-blocked,44,25,1072
fan-blocked,19,3,1039
fan-blocked,0,1,1050
fan-blocked,7,-1,1078
fan-blocked,50,23,1025
fan-blocked,46,27,1070
fan-blocked,35,13,1050
fan-blocked,3,13,1033
fan-blocked,1,0,1060
fan-blocked,15,9,1027
fan-blocked,72,42,1052
fan-blocked,13,9,1056
fan-blocked,19,-1,1056
fan-blocked,0,1,1044
fan-blocked,3,17,1029
fan-blocked,70,42,1056
fan-blocked,25,21,1044
fan-blocked,1,-3,1085
fan-blocked,3,-5,1015
fan-blocked,29,15,1054
fan-blocked,46,25,1029
fan-blocked,23,23,1074
fan-blocked,21,11,1050
fan-blocked,11,7,1037
fan-blocked,0,-5,1072
fan-blocked,29,23,1046
fan-blocked,56,27,1023
fan-blocked,35,21,1044
fan-blocked,-5,-11,1041
fan-blocked,-3,-1,1082
fan-blocked,70,27,1046
fan-blocked,42,25,1041
fan-blocked,11,13,1037
fan-blocked,11,-11,1037
fan-blocked,17,19,1068
fan-blocked,3,7,1017
fan-blocked,72,33,1044
fan-blocked,58,21,1021
fan-blocked,7,-3,1062
fan-blocked,-3,-11,1074
fan-blocked,33,9,1011
fan-blocked,64,35,1050
fan-blocked,3,7,1037
fan-blocked,31,21,1068
fan-blocked,5,1,1011
fan-blocked,15,-1,1085
fan-blocked,23,23,1042
fan-blocked,64,27,1082
fan-blocked,39,15,1003
fan-blocked,-11,-9,1072
fan-blocked,11,3,1050
fan-blocked,68,25,1054
fan-blocked,27,25,1050
fan-blocked,3,3,1058
fan-blocked,23,19,1021
fan-blocked,0,-5,1062
fan-blocked,52,23,1058
fan-blocked,58,19,1042
fan-blocked,35,11,1042
fan-blocked,-1,1,1044
fan-blocked,0,5,1095
fan-blocked,37,17,1015
fan-blocked,62,29,1066
fan-blocked,1,0,1044
fan-blocked,9,0,1068
fan-blocked,5,9,1015
fan-blocked,31,19,1041
fan-blocked,27,21,1050
fan-blocked,54,35,1072
fan-blocked,1,-5,1062
fan-blocked,0,0,1029
fan-blocked,29,17,1042
fan-blocked,50,23,1056
fan-blocked,33,27,1089
fan-blocked,17,9,1017
fan-blocked,13,9,1058
fan-blocked,-1,-3,1058
fan-blocked,41,25,1078
fan-blocked,39,9,1013
fan-blocked,3,9,1091
fan-blocked,0,-13,1037
fan-blocked,13,0,1074
fan-blocked,46,21,998
fan-blocked,52,25,1101
fan-blocked,25,19,1054
fan-blocked,3,-9,1021
fan-blocked,19,17,1082
fan-blocked,19,7,1005
fan-blocked,50,31,1082
fan-blocked,17,17,1037
fan-blocked,0,1,1072
fan-blocked,-1,3,1031
fan-blocked,29,13,1062
fan-blocked,39,19,1041
fan-blocked,54,25,1076
fan-blocked,0,7,1037
fan-blocked,1,11,1021
fan-blocked,27,21,1013
fan-blocked,33,25,1064
fan-blocked,25,17,1027
fan-blocked,19,7,1042
fan-blocked,-1,5,1037
fan-blocked,11,5,1091
fan-blocked,37,21,1015
fan-blocked,31,25,1076
fan-blocked,48,21,1041
fan-blocked,0,-11,1031
fan-blocked,0,15,1068
fan-blocked,46,25,1019
fan-blocked,62,27,1048
fan-blocked,17,21,1042
fan-blocked,5,-9,1060
fan-blocked,-1,-3,1046
fan-blocked,27,15,1013
fan-blocked,56,27,1074
fan-blocked,60,25,1035
fan-blocked,1,11,1072
fan-blocked,1,19,1058
fan-blocked,50,25,1031
fan-blocked,54,35,1050
fan-blocked,0,7,1087
fan-blocked,11,9,1009
fan-blocked,1,5,1037
fan-blocked,15,21,1052
fan-blocked,17,15,1068
fan-blocked,66,39,1021
fan-blocked,27,23,1083
fan-blocked,7,-13,1037
fan-blocked,7,-1,1083
fan-blocked,19,21,1033
fan-blocked,58,27,1064
fan-blocked,37,25,1021
fan-blocked,5,-5,1048
fan-blocked,3,5,1068
fan-blocked,21,17,1056
fan-blocked,72,31,1052
fan-blocked,23,23,1041
fan-blocked,0,9,1087
fan-blocked,27,21,1035
fan-blocked,48,23,990
fan-blocked,39,27,1115
fan-blocked,37,17,1048
fan-blocked,29,23,1033
fan-blocked,7,7,1003
fan-blocked,1,13,1056
fan-blocked,31,21,1068
fan-blocked,70,21,1062
fan-blocked,1,1,1078
fan-blocked,-5,-5,1044
fan-blocked,11,5,1042
fan-blocked,42,31,1019
fan-blocked,25,21,1091
fan-blocked,35,21,1076
fan-blocked,1,-19,1042
fan-blocked,7,0,1072
fan-blocked,31,25,1042
fan-blocked,58,31,1064
fan-blocked,39,23,1033
fan-blocked,1,-1,1003
fan-blocked,35,23,1039
fan-blocked,27,19,1029
fan-blocked,25,23,1052
fan-blocked,31,21,1041
fan-blocked,37,25,1080
fan-blocked,0,-7,1021
fan-blocked,5,9,1076
fan-blocked,27,15,1041
fan-blocked,68,25,1054
fan-blocked,3,13,1031
fan-blocked,-7,-7,1044
fan-blocked,48,25,1048
fan-blocked,35,25,1046
fan-blocked,39,23,1031
fan-blocked,15,19,1076
fan-blocked,15,7,1025
fan-blocked,11,0,1070
fan-blocked,35,25,1037
fan-blocked,44,27,1074
fan-blocked,17,3,1015
fan-blocked,3,0,1031
fan-blocked,19,7,1054
fan-blocked,35,25,1046
fan-blocked,58,33,1062
fan-blocked,15,19,1048
fan-blocked,23,15,1068
fan-blocked,7,3,1021
fan-blocked,11,15,1048
fan-blocked,37,25,1074
fan-blocked,52,9,1013
fan-blocked,27,23,1082
fan-blocked,-11,-1,1011
fan-blocked,15,21,1027
fan-blocked,68,31,1058
fan-blocked,46,11,1062
fan-blocked,-5,-19,1078
fan-blocked,0,0,1025
fan-blocked,5,13,1052
fan-blocked,48,27,1033
fan-blocked,54,25,1091
fan-blocked,3,0,1048
fan-blocked,5,1,1005
fan-blocked,11,-13,1025
fan-blocked,29,25,1048
fan-blocked,68,31,1023
fan-blocked,42,25,1046
fan-blocked,-3,-17,1039
fan-blocked,9,5,1056
fan-blocked,35,17,1039
fan-blocked,37,27,1046
fan-blocked,25,19,1029
fan-blocked,31,25,1082
fan-blocked,-5,-7,1007
fan-blocked,33,21,1058
