Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-on,46,-193,1230
fan-on,-29,105,875
fan-on,-3,1,990
fan-on,29,-21,1123
fan-on,9,-11,1087
fan-on,5,35,1011
fan-on,11,13,1044
fan-on,9,0,1062
fan-on,7,29,1019
fan-on,13,29,1050
fan-on,5,11,1050
fan-on,1,3,1044
fan-on,7,3,1033
fan-on,27,19,1058
fan-on,11,-5,1050
fan-on,0,21,1013
fan-on,33,19,1093
fan-on,5,-7,1068
fan-on,0,19,1033
fan-on,13,11,1009
fan-on,13,-1,1064
fan-on,25,21,1085
fan-on,3,-5,1078
fan-on,-7,21,984
fan-on,11,7,1031
fan-on,-3,21,1021
fan-on,1,3,1025
fan-on,19,7,1064
fan-on,11,23,1078
fan-on,9,-13,1070
fan-on,0,9,1009
fan-on,-1,19,1021
fan-on,-5,17,939
fan-on,62,-13,1291
fan-on,17,9,1064
fan-on,7,15,1070
fan-on,11,-23,1068
fan-on,-11,21,1003
fan-on,0,19,1021
fan-on,11,17,1064
fan-on,5,41,1031
fan-on,9,-11,1044
fan-on,11,17,1044
fan-on,29,0,1095
fan-on,3,13,1031
fan-on,-5,21,1031
fan-on,7,13,1046
fan-on,25,7,1035
fan-on,25,7,1035
fan-on,1,23,1048
fan-on,1,23,1039
fan-on,13,11,1083
fan-on,7,17,1042
fan-on,11,-17,1076
fan-on,11,9,1076
fan-on,13,23,1058
fan-on,1,25,1031
fan-on,19,15,1046
fan-on,5,-48,1099
fan-on,671,-1046,2169
fan-on,39,-435,1640
fan-on,48,-1,966
fan-on,29,-5,1113
fan-on,17,58,1009
fan-on,-5,11,998
fan-on,-423,-175,927
fan-on,103,97,1074
fan-on,76,164,972
fan-on,93,128,1154
fan-on,76,5,1000
fan-on,48,-29,1031
fan-on,167,-308,1380
fan-on,0,-107,1232
fan-on,0,-42,1105
fan-on,76,21,1023
fan-on,27,17,1031
fan-on,-48,87,941
fan-on,-41,93,945
fan-on,-9,78,978
fan-on,29,-5,1105
fan-on,27,-39,1103
fan-on,46,1,1125
fan-on,33,-13,1076
fan-on,56,5,1138
fan-on,27,-23,1064
fan-on,58,19,1087
fan-on,-11,35,1033
fan-on,-27,99,941
fan-on,-33,66,929
fan-on,25,9,1064
fan-on,42,0,1132
fan-on,39,-13,1107
fan-on,21,-29,1082
fan-on,33,-25,1042
fan-on,17,0,1080
fan-on,-1,17,1013
fan-on,-7,103,910
fan-on,0,52,1033
fan-on,19,5,1105
fan-on,17,-21,1082
fan-on,41,-23,1037
fan-on,19,-1,1083
fan-on,11,25,1037
fan-on,-15,46,966
fan-on,0,27,1000
fan-on,5,-3,1023
fan-on,15,-13,1074
fan-on,23,-23,1052
fan-on,19,-19,1093
fan-on,33,21,1093
fan-on,-1,23,1007
fan-on,0,41,994
fan-on,1,9,1025
fan-on,37,17,1103
fan-on,17,0,1070
fan-on,21,15,1085
fan-on,5,19,1048
fan-on,-1,23,1033
fan-on,0,25,1035
fan-on,-7,-11,1033
fan-on,42,21,1097
fan-on,17,11,1048
fan-on,23,27,1064
fan-on,7,25,1023
fan-on,0,11,1039
fan-on,7,9,1035
fan-on,41,23,1052
fan-on,0,-9,1062
fan-on,11,11,1091
fan-on,0,9,1003
fan-on,0,21,1042
fan-on,5,1,1058
fan-on,17,21,1035
fan-on,25,23,1050
fan-on,0,-3,1072
fan-on,9,7,1062
fan-on,5,21,998
fan-on,17,21,1029
fan-on,31,23,1087
fan-on,1,5,1048
fan-on,-5,-17,1046
fan-on,-3,3,1037
fan-on,5,15,1033
fan-on,13,23,1078
fan-on,31,27,1011
fan-on,13,17,1072
fan-on,5,7,1085
fan-on,5,-3,1033
fan-on,21,23,1023
fan-on,11,21,1052
fan-on,13,11,1060
fan-on,19,19,1035
fan-on,11,13,1056
fan-on,3,5,1041
fan-on,15,0,1027
fan-on,27,23,1019
fan-on,3,11,1041
fan-on,21,23,1078
fan-on,9,5,1037
fan-on,19,21,1048
fan-on,17,7,1058
fan-on,15,21,1076
