Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-balance,-103,66,966
fan-balance,42,-205,1076
fan-balance,166,-345,1066
fan-balance,115,-111,1123
fan-balance,25,265,1009
fan-balance,-27,236,980
fan-balance,-54,289,1044
fan-balance,-13,-52,1064
fan-balance,56,-287,1097
fan-balance,152,-324,1093
fan-balance,105,-80,1107
fan-balance,29,273,1009
fan-balance,-76,248,1017
fan-balance,-56,271,992
fan-balance,0,-121,1052
fan-balance,109,-361,1064
fan-balance,150,-267,1169
fan-balance,70,91,1046
fan-balance,-3,279,1029
fan-balance,-70,244,1011
fan-balance,-44,126,1048
fan-balance,-5,-117,1062
fan-balance,119,-361,1070
fan-balance,152,-261,1164
fan-balance,60,107,1011
fan-balance,-5,281,1031
fan-balance,-83,234,974
fan-balance,-48,142,1068
fan-balance,33,-224,1060
fan-balance,152,-316,1087
fan-balance,91,-203,1080
fan-balance,62,91,1023
fan-balance,-15,271,1041
fan-balance,-82,232,964
fan-balance,-39,173,1076
fan-balance,21,-189,1068
fan-balance,109,-326,1068
fan-balance,125,-232,1101
fan-balance,54,144,1052
fan-balance,-29,250,1031
fan-balance,-177,449,1544
fan-balance,-453,-273,738
fan-balance,238,-142,1085
fan-balance,214,-308,1144
fan-balance,107,-205,1070
fan-balance,9,91,1056
fan-balance,-25,228,1027
fan-balance,-189,193,1013
fan-balance,-738,140,958
fan-balance,-833,322,734
fan-balance,710,-390,1363
fan-balance,93,-171,1423
fan-balance,37,-42,1130
fan-balance,15,128,1060
fan-balance,87,177,896
fan-balance,-19,121,951
fan-balance,-52,220,1218
fan-balance,-91,-31,847
fan-balance,109,-50,855
fan-balance,181,-431,1189
fan-balance,95,205,812
fan-balance,64,181,1025
fan-balance,-83,134,1109
fan-balance,-78,207,1292
fan-balance,-3,-158,1042
fan-balance,21,-222,1083
fan-balance,130,-244,1097
fan-balance,44,164,980
fan-balance,46,171,753
fan-balance,-56,42,888
fan-balance,-11,222,1341
fan-balance,-19,-128,976
fan-balance,23,-199,972
fan-balance,199,-453,1250
fan-balance,64,201,978
fan-balance,54,185,837
fan-balance,-41,130,1115
fan-balance,-70,134,1041
fan-balance,-31,-101,925
fan-balance,23,-171,910
fan-balance,138,-201,1197
fan-balance,89,167,1000
fan-balance,27,156,988
fan-balance,-42,208,1291
fan-balance,-58,160,1068
fan-balance,111,-412,1572
fan-balance,19,-248,1193
fan-balance,117,99,1271
fan-balance,44,191,880
fan-balance,54,185,800
fan-balance,-39,93,1027
fan-balance,-60,166,1128
fan-balance,68,-310,1443
fan-balance,9,-261,1244
fan-balance,128,-17,1095
fan-balance,93,164,1023
fan-balance,48,167,949
fan-balance,-46,175,1244
fan-balance,-89,-15,857
fan-balance,82,-93,958
fan-balance,66,-173,1064
fan-balance,74,144,1099
fan-balance,83,175,939
fan-balance,-46,54,917
fan-balance,-25,224,1419
fan-balance,-68,13,837
fan-balance,95,-173,1044
fan-balance,33,-166,1017
fan-balance,39,115,949
fan-balance,54,185,810
fan-balance,19,103,945
fan-balance,-7,244,1517
fan-balance,-64,-64,849
fan-balance,121,-339,1365
fan-balance,23,-220,1130
fan-balance,66,119,1101
fan-balance,76,181,984
