Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-balance,-7,-166,1044
fan-balance,-52,101,1072
fan-balance,-50,183,976
fan-balance,-33,23,992
fan-balance,17,-160,1007
fan-balance,68,-220,1056
fan-balance,85,-56,1107
fan-balance,33,125,1052
fan-balance,-27,208,1087
fan-balance,-3,136,1019
fan-balance,13,-21,1058
fan-balance,31,-142,1000
fan-balance,33,-171,1042
fan-balance,70,-48,1095
fan-balance,15,167,1042
fan-balance,-39,164,1097
fan-balance,-3,89,1029
fan-balance,17,-48,1048
fan-balance,29,-144,992
fan-balance,31,-146,1042
fan-balance,48,115,1037
fan-balance,-1,140,1113
fan-balance,-21,142,1050
fan-balance,17,93,1044
fan-balance,9,-111,994
fan-balance,3,-142,984
fan-balance,39,-132,1056
fan-balance,50,29,1046
fan-balance,-21,179,1082
fan-balance,-23,125,1044
fan-balance,15,60,1056
fan-balance,15,-85,1005
fan-balance,11,-111,1035
fan-balance,41,-123,1039
fan-balance,31,37,1060
fan-balance,-1,187,1115
fan-balance,-9,115,1066
fan-balance,11,68,1044
fan-balance,13,-64,1015
fan-balance,19,-119,1041
fan-balance,39,-91,1052
fan-balance,33,132,1095
fan-balance,-9,171,1103
fan-balance,3,125,1046
fan-balance,17,-31,1025
fan-balance,-1,-74,949
fan-balance,56,-134,1044
fan-balance,60,-132,1064
fan-balance,37,56,1080
fan-balance,-1,119,1093
fan-balance,-7,134,1068
fan-balance,7,109,1039
fan-balance,-1,-31,978
fan-balance,15,-183,1039
fan-balance,82,164,1093
fan-balance,269,554,1041
fan-balance,-13,62,1167
fan-balance,0,193,1027
fan-balance,-35,152,972
fan-balance,-140,21,1025
fan-balance,-103,-48,1121
fan-balance,296,21,1068
fan-balance,414,-48,1091
fan-balance,234,15,1085
fan-balance,220,19,1042
fan-balance,60,105,1021
fan-balance,11,144,1044
fan-balance,-1,-3,958
fan-balance,54,-197,1080
fan-balance,70,-199,1107
fan-balance,56,80,1113
fan-balance,0,132,1052
fan-balance,-1,111,1025
fan-balance,-29,95,1027
fan-balance,11,105,1089
fan-balance,44,-207,1082
fan-balance,56,-181,1070
fan-balance,66,5,1126
fan-balance,1,148,1058
fan-balance,-9,87,980
fan-balance,-48,82,984
fan-balance,3,-42,933
fan-balance,78,-181,1074
fan-balance,78,-193,1095
fan-balance,89,-64,1121
fan-balance,3,138,1044
fan-balance,-9,82,1027
fan-balance,-52,80,1005
fan-balance,52,105,1177
fan-balance,44,-238,1150
fan-balance,107,-171,1074
fan-balance,35,140,1113
fan-balance,3,126,1015
fan-balance,-27,72,1000
fan-balance,-50,85,980
fan-balance,33,87,1156
fan-balance,21,-228,1119
fan-balance,101,-177,1087
fan-balance,68,33,1099
fan-balance,0,101,1025
fan-balance,-13,60,1013
fan-balance,-29,95,1019
fan-balance,3,27,939
fan-balance,99,-203,1082
fan-balance,130,-158,1068
fan-balance,13,136,1082
fan-balance,11,99,1013
fan-balance,-3,83,1019
fan-balance,-41,150,1023
fan-balance,-1,205,914
fan-balance,107,-214,1031
fan-balance,205,-205,1076
