Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-trans,62,78,1062
fan-trans,15,9,1062
fan-trans,31,21,1054
fan-trans,9,15,1048
fan-trans,7,19,1042
fan-trans,11,13,1054
fan-trans,9,21,1050
fan-trans,3,15,1048
fan-trans,5,23,1054
fan-trans,7,17,1046
fan-trans,3,23,1039
fan-trans,11,19,1050
fan-trans,3,15,1048
fan-trans,13,17,1046
fan-trans,1,11,1058
fan-trans,9,19,1050
fan-trans,7,17,1062
fan-trans,7,19,1052
fan-trans,15,19,1046
fan-trans,9,17,1044
fan-trans,9,23,1044
fan-trans,9,21,1048
fan-trans,9,21,1050
fan-trans,15,21,1050
fan-trans,9,19,1050
fan-trans,7,23,1056
fan-trans,11,23,1054
fan-trans,11,17,1048
fan-trans,11,23,1050
fan-trans,7,17,1054
fan-trans,13,23,1044
fan-trans,7,19,1050
fan-trans,13,19,1054
fan-trans,9,21,1056
fan-trans,9,19,1048
fan-trans,7,23,1048
fan-trans,9,19,1050
fan-trans,11,17,1056
fan-trans,11,23,1044
fan-trans,9,17,1041
fan-trans,5,21,1046
fan-trans,5,21,1046
fan-trans,15,23,1048
fan-trans,9,23,1050
fan-trans,13,19,1044
fan-trans,9,17,1052
fan-trans,15,21,1052
fan-trans,7,23,1052
fan-trans,1,21,1046
fan-trans,7,17,1046
fan-trans,3,23,1048
fan-trans,9,21,1056
fan-trans,0,13,1050
fan-trans,9,25,1041
fan-trans,5,19,1060
fan-trans,9,23,1054
fan-trans,11,17,1050
fan-trans,11,23,1050
fan-trans,11,21,1046
fan-trans,15,23,1054
fan-trans,15,23,1050
fan-trans,9,21,1054
fan-trans,5,21,1048
fan-trans,5,19,1048
fan-trans,5,23,1042
fan-trans,146,37,691
fan-trans,-82,-66,1162
fan-trans,3,-27,1056
fan-trans,35,3,1039
fan-trans,7,9,1066
fan-trans,7,21,1044
fan-trans,17,15,1056
fan-trans,5,19,1058
fan-trans,13,23,1046
fan-trans,13,19,1046
fan-trans,3,23,1048
fan-trans,13,23,1033
fan-trans,9,15,1041
fan-trans,11,17,1037
fan-trans,11,23,1041
fan-trans,13,13,1048
fan-trans,11,17,1054
fan-trans,11,19,1037
fan-trans,7,15,1064
fan-trans,11,15,1052
fan-trans,7,21,1050
fan-trans,11,17,1048
fan-trans,13,21,1058
fan-trans,7,1,1056
fan-trans,11,21,1041
fan-trans,9,17,1048
fan-trans,7,15,1042
fan-trans,9,15,1052
fan-trans,5,21,1064
fan-trans,5,1,1058
fan-trans,13,27,1013
fan-trans,17,9,1072
fan-trans,7,23,1039
fan-trans,5,23,1048
fan-trans,11,19,1048
fan-trans,11,23,1039
fan-trans,9,23,1044
fan-trans,9,17,1058
fan-trans,13,17,1054
fan-trans,9,21,1035
fan-trans,15,21,1072
fan-trans,3,21,1037
fan-trans,1,23,1037
fan-trans,9,23,1050
fan-trans,7,23,1039
fan-trans,15,17,1062
fan-trans,3,19,1046
fan-trans,7,23,1037
fan-trans,11,21,1064
fan-trans,7,15,1048
fan-trans,11,25,1023
fan-trans,21,23,1064
fan-trans,15,21,1058
fan-trans,-1,31,990
fan-trans,1,48,1023
fan-trans,-5,68,970
fan-trans,15,-76,1220
fan-trans,23,-52,1191
fan-trans,50,13,1023
fan-trans,23,-21,1123
fan-trans,-1,37,1052
fan-trans,-3,60,978
fan-trans,15,3,1064
fan-trans,35,-7,1048
fan-trans,33,7,1064
fan-trans,1,31,1031
fan-trans,5,27,1025
fan-trans,33,19,1060
fan-trans,15,-11,1066
fan-trans,13,23,1044
fan-trans,3,21,1019
fan-trans,19,13,1060
fan-trans,19,17,1066
fan-trans,19,23,1039
fan-trans,0,1,1031
fan-trans,23,17,1066
fan-trans,21,19,1052
fan-trans,9,9,1041
fan-trans,15,13,1068
fan-trans,23,17,1050
fan-trans,29,21,1068
fan-trans,3,9,1048
fan-trans,19,15,1039
fan-trans,19,21,1046
fan-trans,11,11,1048
fan-trans,17,17,1052
fan-trans,7,19,1052
fan-trans,11,17,1046
fan-trans,17,17,1056
fan-trans,13,21,1046
fan-trans,9,23,1044
fan-trans,11,17,1058
fan-trans,23,23,1050
fan-trans,7,17,1042
fan-trans,17,21,1056
fan-trans,9,19,1041
fan-trans,21,23,1048
fan-trans,13,23,1054
fan-trans,19,23,1037
fan-trans,15,23,1046
fan-trans,13,23,1064
fan-trans,7,23,1054
fan-trans,11,23,1046
fan-trans,7,23,1046
fan-trans,11,23,1068
fan-trans,1,21,1031
fan-trans,17,25,1039
fan-trans,11,15,1050
fan-trans,7,27,1048
fan-trans,7,21,1041
fan-trans,19,23,1062
fan-trans,3,23,1039
fan-trans,9,25,1041
fan-trans,17,23,1060
fan-trans,5,19,1054
fan-trans,9,23,1042
fan-trans,13,23,1044
fan-trans,7,21,1046
fan-trans,15,23,1054
fan-trans,13,23,1058
fan-trans,7,21,1048
fan-trans,11,19,1044
fan-trans,27,21,1064
fan-trans,9,17,1037
fan-trans,11,15,1039
fan-trans,13,19,1054
fan-trans,1,11,1048
fan-trans,15,15,1041
fan-trans,9,5,1054
fan-trans,5,21,1042
fan-trans,17,17,1033
fan-trans,19,21,1056
fan-trans,17,23,1042
fan-trans,9,17,1048
fan-trans,23,23,1058
fan-trans,9,9,1044
fan-trans,23,17,1052
fan-trans,23,15,1056
fan-trans,21,19,1042
fan-trans,21,19,1035
fan-trans,15,19,1048
fan-trans,21,17,1046
fan-trans,11,15,1054
fan-trans,7,21,1054
fan-trans,11,13,1048
fan-trans,15,19,1056
fan-trans,13,23,1054
fan-trans,5,15,1042
fan-trans,19,21,1052
fan-trans,5,23,1056
fan-trans,7,21,1054
fan-trans,27,23,1050
fan-trans,5,19,1039
fan-trans,11,23,1060
fan-trans,9,17,1046
fan-trans,11,23,1050
fan-trans,17,23,1056
fan-trans,17,23,1054
fan-trans,15,21,1064
fan-trans,13,23,1042
fan-trans,3,19,1054
fan-trans,7,23,1041
fan-trans,5,21,1046
fan-trans,23,25,1042
fan-trans,11,19,1050
fan-trans,9,23,1056
fan-trans,11,25,1037
fan-trans,25,23,1066
fan-trans,7,23,1039
fan-trans,15,23,1054
fan-trans,9,23,1044
fan-trans,7,21,1050
fan-trans,21,25,1050
fan-trans,13,23,1062
fan-trans,1,15,1039
fan-trans,21,21,1054
fan-trans,11,21,1052
fan-trans,19,21,1039
fan-trans,19,23,1062
fan-trans,15,23,1062
fan-trans,11,17,1050
fan-trans,15,17,1060
fan-trans,15,25,1048
fan-trans,23,21,1050
fan-trans,17,13,1042
fan-trans,19,19,1054
fan-trans,7,13,1046
fan-trans,15,13,1035
fan-trans,11,21,1048
fan-trans,13,11,1033
fan-trans,19,19,1052
fan-trans,13,11,1041
fan-trans,15,21,1058
fan-trans,15,23,1068
fan-trans,1,9,1025
fan-trans,29,23,1054
fan-trans,15,13,1048
fan-trans,7,17,1052
fan-trans,17,21,1062
fan-trans,9,17,1054
fan-trans,19,23,1054
fan-trans,21,9,1048
fan-trans,5,15,1046
fan-trans,21,21,1062
fan-trans,13,15,1035
fan-trans,15,19,1054
fan-trans,9,15,1035
fan-trans,27,23,1058
fan-trans,25,25,1070
fan-trans,5,15,1031
fan-trans,27,23,1056
fan-trans,11,19,1041
fan-trans,21,27,1060
fan-trans,7,21,1044
fan-trans,15,25,1068
fan-trans,3,17,1041
fan-trans,17,19,1062
fan-trans,9,23,1035
fan-trans,9,23,1031
fan-trans,15,23,1056
fan-trans,21,21,1052
fan-trans,11,25,1048
fan-trans,17,31,1060
fan-trans,0,19,1029
fan-trans,17,25,1050
fan-trans,13,17,1035
fan-trans,15,23,1056
fan-trans,1,23,1037
fan-trans,11,23,1066
fan-trans,9,21,1044
fan-trans,17,21,1062
fan-trans,3,19,1046
fan-trans,9,25,1037
fan-trans,11,17,1062
fan-trans,15,17,1046
fan-trans,17,11,1056
fan-trans,19,23,1056
fan-trans,9,23,1041
fan-trans,19,15,1050
fan-trans,13,11,1052
fan-trans,15,21,1054
fan-trans,3,21,1041
fan-trans,19,21,1056
fan-trans,9,11,1044
fan-trans,23,7,1064
fan-trans,19,25,1062
fan-trans,3,15,1031
fan-trans,35,23,1052
fan-trans,7,-5,1050
fan-trans,1,13,1035
fan-trans,17,21,1031
fan-trans,11,17,1048
fan-trans,9,13,1050
fan-trans,15,11,1050
fan-trans,15,25,1044
fan-trans,9,21,1039
fan-trans,19,21,1056
fan-trans,17,1,1044
fan-trans,13,19,1056
fan-trans,0,11,1025
fan-trans,19,19,1050
fan-trans,11,0,1042
fan-trans,9,13,1052
fan-trans,15,23,1042
fan-trans,7,19,1050
fan-trans,19,15,1041
fan-trans,25,19,1060
fan-trans,23,23,1062
fan-trans,1,19,1029
fan-trans,21,21,1054
fan-trans,5,13,1062
fan-trans,19,23,1060
fan-trans,1,17,1029
fan-trans,7,25,1062
fan-trans,5,9,1046
fan-trans,17,23,1064
fan-trans,0,17,1029
fan-trans,15,27,1068
fan-trans,9,13,1033
fan-trans,23,21,1068
fan-trans,17,25,1035
fan-trans,13,25,1046
fan-trans,13,17,1039
fan-trans,23,21,1070
fan-trans,1,19,1046
fan-trans,11,23,1060
fan-trans,5,21,1046
fan-trans,27,19,1076
fan-trans,5,15,1042
fan-trans,17,23,1054
fan-trans,3,15,1056
fan-trans,15,5,1029
fan-trans,31,23,1070
fan-trans,3,15,1027
fan-trans,21,25,1070
fan-trans,11,9,1041
fan-trans,31,25,1076
fan-trans,1,13,1019
fan-trans,27,23,1056
fan-trans,15,9,1052
fan-trans,25,25,1076
fan-trans,7,17,1039
fan-trans,25,19,1058
fan-trans,15,9,1052
fan-trans,11,5,1037
fan-trans,21,19,1046
fan-trans,17,17,1044
fan-trans,5,5,1035
fan-trans,27,15,1060
fan-trans,9,13,1021
fan-trans,21,21,1064
fan-trans,13,3,1042
fan-trans,33,23,1064
fan-trans,3,13,1025
fan-trans,3,15,1042
fan-trans,17,13,1052
fan-trans,17,13,1039
fan-trans,25,23,1039
fan-trans,19,21,1050
fan-trans,15,13,1050
fan-trans,19,23,1062
fan-trans,7,23,1042
fan-trans,5,19,1072
fan-trans,5,11,1039
fan-trans,7,19,1056
fan-trans,13,25,1048
fan-trans,15,23,1062
fan-trans,15,21,1046
fan-trans,19,25,1064
fan-trans,9,23,1044
fan-trans,17,21,1046
fan-trans,31,23,1070
fan-trans,5,23,1035
fan-trans,13,25,1064
fan-trans,11,17,1046
fan-trans,3,13,1031
fan-trans,17,25,1048
fan-trans,7,23,1035
fan-trans,9,23,1070
fan-trans,0,7,1037
fan-trans,17,31,1054
fan-trans,9,25,1068
fan-trans,15,15,1058
fan-trans,7,23,1052
