Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-on,5,-29,1042
fan-on,29,-60,1080
fan-on,39,-5,1041
fan-on,25,-5,1013
fan-on,42,19,1058
fan-on,23,-3,1037
fan-on,41,3,1062
fan-on,41,-3,1025
fan-on,33,-13,1066
fan-on,42,-23,1068
fan-on,39,5,1015
fan-on,21,7,1025
fan-on,29,-5,1039
fan-on,27,-35,1064
fan-on,46,7,1062
fan-on,27,11,1023
fan-on,42,9,1072
fan-on,11,11,1001
fan-on,33,17,1052
fan-on,35,-37,1058
fan-on,33,5,1052
fan-on,52,15,1046
fan-on,19,-5,1009
fan-on,41,-7,1087
fan-on,46,-27,1085
fan-on,19,-21,1033
fan-on,29,25,1021
fan-on,37,-1,1087
fan-on,42,-5,1062
fan-on,37,1,1031
fan-on,39,-1,1033
fan-on,46,-25,1111
fan-on,29,-5,1046
fan-on,46,13,1052
fan-on,39,-3,1074
fan-on,39,-7,1074
fan-on,33,0,1058
fan-on,33,-56,1054
fan-on,23,11,1050
fan-on,5,1,1039
fan-on,31,-5,1054
fan-on,29,-27,1074
fan-on,17,0,1058
fan-on,33,1,1058
fan-on,27,7,1033
fan-on,7,-9,1048
fan-on,15,-21,1066
fan-on,19,3,1058
fan-on,31,0,1052
fan-on,31,-44,1080
fan-on,31,-5,1076
fan-on,17,33,1013
fan-on,25,5,1074
fan-on,9,19,1041
fan-on,33,5,1041
fan-on,48,-1,1062
fan-on,27,3,1072
fan-on,54,23,1048
fan-on,41,13,1027
fan-on,31,-25,1050
fan-on,29,-25,1050
fan-on,72,11,1052
fan-on,39,-23,1050
fan-on,58,25,1054
fan-on,48,21,1052
fan-on,50,-17,1050
fan-on,21,0,1015
fan-on,48,1,1080
fan-on,23,-7,1066
fan-on,46,5,1052
fan-on,48,9,1060
fan-on,13,-11,1048
fan-on,62,17,908
fan-on,58,146,896
fan-on,27,-29,1095
fan-on,44,25,1025
fan-on,27,-1,1054
fan-on,66,-62,1175
fan-on,33,-39,1072
fan-on,15,3,1001
fan-on,-160,-158,1039
fan-on,-451,-527,1035
fan-on,-267,-482,1019
fan-on,15,855,3960
fan-on,-394,332,-1974
fan-on,2619,1630,3593
fan-on,919,1246,2683
fan-on,375,527,1363
fan-on,-66,56,367
fan-on,13,244,861
fan-on,13,271,1162
fan-on,41,-5,1265
fan-on,60,-121,1085
fan-on,107,-80,1080
fan-on,56,-46,1078
fan-on,46,29,1041
fan-on,0,0,1037
fan-on,31,15,1027
