Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-balance,72,-132,718
fan-balance,101,-802,982
fan-balance,-54,-550,1166
fan-balance,19,394,1294
fan-balance,33,441,1390
fan-balance,39,199,1189
fan-balance,238,208,880
fan-balance,70,-490,990
fan-balance,-29,-912,919
fan-balance,27,-316,1261
fan-balance,9,300,1216
fan-balance,-13,566,1214
fan-balance,0,263,1103
fan-balance,166,115,855
fan-balance,212,-488,1101
fan-balance,11,-763,978
fan-balance,37,111,1082
fan-balance,-46,402,1136
fan-balance,-107,562,1009
fan-balance,7,324,958
fan-balance,64,-279,822
fan-balance,253,-560,1000
fan-balance,72,-595,1105
fan-balance,82,130,1125
fan-balance,9,337,1248
fan-balance,-179,460,1119
fan-balance,-17,320,884
fan-balance,208,-298,994
fan-balance,156,-773,931
fan-balance,107,-230,974
fan-balance,74,222,1238
fan-balance,-105,431,1136
fan-balance,-201,392,1189
fan-balance,-42,283,896
fan-balance,240,-289,998
fan-balance,179,-740,955
fan-balance,105,-275,1023
fan-balance,85,353,1210
fan-balance,-113,339,1181
fan-balance,-189,447,1052
fan-balance,126,-95,1023
fan-balance,248,-603,880
fan-balance,152,-517,1003
fan-balance,117,-15,1095
fan-balance,60,353,1232
fan-balance,-187,357,1197
fan-balance,-160,341,970
fan-balance,-7,169,914
fan-balance,251,-421,914
fan-balance,164,-724,994
fan-balance,130,-91,1105
fan-balance,52,357,1187
fan-balance,-189,335,1220
fan-balance,-152,423,990
fan-balance,54,58,1000
fan-balance,267,-261,970
fan-balance,144,-769,943
fan-balance,111,-308,1033
fan-balance,39,281,1193
fan-balance,-152,423,1160
fan-balance,-3,277,960
fan-balance,218,-281,1042
fan-balance,248,-484,890
fan-balance,37,-835,890
fan-balance,185,-343,1392
fan-balance,-29,271,1148
fan-balance,-125,513,1144
fan-balance,-25,375,923
fan-balance,89,550,462
fan-balance,234,367,1162
fan-balance,185,-646,1009
fan-balance,-50,-449,767
fan-balance,44,-564,1041
fan-balance,-164,64,980
fan-balance,-27,181,898
fan-balance,17,191,1292
fan-balance,150,240,1244
fan-balance,123,175,843
fan-balance,279,-539,1792
fan-balance,0,-583,1033
fan-balance,-68,-208,810
fan-balance,117,210,1578
fan-balance,29,134,1537
fan-balance,154,248,853
fan-balance,52,80,474
fan-balance,44,-1,685
fan-balance,-140,-253,1277
fan-balance,7,-35,125
fan-balance,173,267,1416
fan-balance,109,199,1154
fan-balance,207,304,1363
fan-balance,93,109,654
fan-balance,93,46,695
fan-balance,-91,-185,1230
fan-balance,152,-582,1861
fan-balance,-93,-41,2281
fan-balance,13,21,669
fan-balance,158,210,896
fan-balance,82,101,376
fan-balance,3,-23,552
fan-balance,-123,-203,1193
fan-balance,41,7,271
fan-balance,101,191,675
fan-balance,35,95,1412
fan-balance,191,275,1197
fan-balance,89,117,589
fan-balance,29,11,666
fan-balance,-113,-199,1232
fan-balance,-25,-82,306
fan-balance,111,136,1767
fan-balance,44,107,919
fan-balance,125,179,929
fan-balance,82,117,500
fan-balance,83,58,728
fan-balance,-80,-164,1162
fan-balance,44,-207,744
fan-balance,148,89,2037
fan-balance,17,46,642
fan-balance,140,238,1171
fan-balance,46,105,529
fan-balance,7,-17,625
fan-balance,-111,-220,1167
fan-balance,132,216,1134
fan-balance,76,177,1064
fan-balance,93,214,1060
fan-balance,162,255,1375
fan-balance,101,140,812
fan-balance,60,-1,720
fan-balance,-80,-193,1162
fan-balance,-3,-126,480
fan-balance,158,257,1791
fan-balance,56,142,925
fan-balance,125,173,939
fan-balance,93,125,500
fan-balance,-19,-66,626
fan-balance,-89,-214,1166
fan-balance,117,-78,1248
fan-balance,123,128,1824
fan-balance,48,103,710
fan-balance,156,207,1154
fan-balance,101,111,716
fan-balance,52,-13,666
fan-balance,-31,-173,1109
fan-balance,-185,-242,2011
fan-balance,146,283,1394
fan-balance,44,193,1447
fan-balance,89,105,830
fan-balance,128,158,585
fan-balance,54,3,707
fan-balance,-138,-216,1169
fan-balance,13,-27,267
fan-balance,80,189,1615
fan-balance,68,167,1048
fan-balance,119,148,861
fan-balance,125,111,560
fan-balance,-25,-78,648
