Class,bma280_x[mg],bma280_y[mg],bma280_z[mg]
fan-balance,21,27,949
fan-balance,-19,82,929
fan-balance,-46,64,861
fan-balance,41,-173,1160
fan-balance,99,-251,1201
fan-balance,109,-109,1294
fan-balance,46,99,1111
fan-balance,-3,128,914
fan-balance,-66,121,789
fan-balance,-17,33,857
fan-balance,37,-162,1083
fan-balance,123,-236,1257
fan-balance,115,-82,1318
fan-balance,25,83,1117
fan-balance,-11,121,900
fan-balance,-39,97,783
fan-balance,-3,21,859
fan-balance,31,-191,1154
fan-balance,109,-167,1240
fan-balance,111,3,1312
fan-balance,-25,164,923
fan-balance,-31,93,892
fan-balance,-19,95,812
fan-balance,5,21,861
fan-balance,46,-191,1150
fan-balance,97,-158,1251
fan-balance,91,0,1294
fan-balance,13,87,1068
fan-balance,-33,93,857
fan-balance,-21,128,765
fan-balance,1,-78,951
fan-balance,44,-210,1197
fan-balance,130,-156,1304
fan-balance,78,-15,1267
fan-balance,21,95,1115
fan-balance,-21,74,882
fan-balance,-13,128,787
fan-balance,0,-23,914
fan-balance,35,-214,1156
fan-balance,136,-162,1304
fan-balance,21,83,1138
fan-balance,-21,76,908
fan-balance,-5,140,806
fan-balance,373,39,726
fan-balance,-62,-95,734
fan-balance,29,-169,1253
fan-balance,265,-60,1753
fan-balance,-1,750,726
fan-balance,-166,-1548,1369
fan-balance,27,853,716
fan-balance,-46,138,-60
fan-balance,230,-1355,1451
fan-balance,943,-417,2822
fan-balance,306,-220,2134
fan-balance,-517,25,3375
fan-balance,-76,52,226
fan-balance,-210,380,1318
fan-balance,13,416,287
fan-balance,-113,72,1000
fan-balance,-91,228,1121
fan-balance,42,216,1136
fan-balance,183,23,1015
fan-balance,177,-132,988
fan-balance,142,128,775
fan-balance,41,89,888
fan-balance,-263,109,1263
fan-balance,-148,7,990
fan-balance,-25,-37,748
fan-balance,0,125,1179
fan-balance,68,17,1103
fan-balance,46,-60,324
fan-balance,128,123,781
fan-balance,-183,-7,1617
fan-balance,-267,23,1306
fan-balance,-58,-72,802
fan-balance,-3,-134,1195
fan-balance,125,42,945
fan-balance,216,91,667
fan-balance,95,158,634
fan-balance,-66,87,1185
fan-balance,-195,25,1162
fan-balance,-111,-70,1130
fan-balance,66,-1,1074
fan-balance,134,-23,1160
