Data file,Class name,Sample rate,Status
drop_id0_20260131221456743.csv,drop, ,Uploaded
move_id0_20260131221604737.csv,move, ,Uploaded
stop_id0_20260131221713506.csv,stop, ,Uploaded
DROP_id0_20260201110130073.csv,DROP, ,Uploaded
NORMAL_id0_20260201110323288.csv,NORMAL, ,Uploaded
MOVE_id0_20260201112255880.csv,MOVE, ,Uploaded
JUMP_id0_20260201115817894.csv,JUMP, ,
JUMP_id0_20260201121102103.csv,JUMP, ,
JUMP_id0_20260201121153318.csv,JUMP, ,
FLOOR_id0_20260201122947946.csv,FLOOR, ,
DESK_id0_20260201123041553.csv,DESK, ,
DESK2_id0_20260201123139350.csv,DESK2, ,
DESK2_id0_20260201135003330.csv,DESK2, ,
DESK3_id0_20260201135115486.csv,DESK3, ,
DESK4_id0_20260201135259011.csv,DESK4, ,
DESK4_id0_20260201135359333.csv,DESK4, ,
ERROR1_id0_20260201135751331.csv,ERROR1, ,
ERROR2_id0_20260201135806502.csv,ERROR2, ,
DESK5_id0_20260201141618751.csv,DESK5, ,
DESK6_id0_20260201141727375.csv,DESK6, ,
DESK7_id0_20260201142040171.csv,DESK7, ,
DESK8_id0_20260201142137193.csv,DESK8, ,
