Data file,Class name,Sample rate,Status
drop_id0_20260131221456743.csv,drop, ,
move_id0_20260131221604737.csv,move, ,
stop_id0_20260131221713506.csv,stop, ,
DROP_id0_20260201110130073.csv,DROP, ,
NORMAL_id0_20260201110323288.csv,NORMAL, ,
MOVE_id0_20260201112255880.csv,MOVE, ,
JUMP_id0_20260201115817894.csv,JUMP, ,
JUMP_id0_20260201121102103.csv,JUMP, ,
JUMP_id0_20260201121153318.csv,JUMP, ,
FLOOR_id0_20260201122947946.csv,FLOOR, ,
DESK_id0_20260201123041553.csv,DESK, ,
DESK2_id0_20260201123139350.csv,DESK2, ,
DESK2_id0_20260201135003330.csv,DESK2, ,
DESK3_id0_20260201135115486.csv,DESK3, ,
DESK4_id0_20260201135259011.csv,DESK4, ,
DESK4_id0_20260201135359333.csv,DESK4, ,
ERROR1_id0_20260201135751331.csv,ERROR1, ,
ERROR2_id0_20260201135806502.csv,ERROR2, ,
DESK5_id0_20260201141618751.csv,DESK5, ,
DESK6_id0_20260201141727375.csv,DESK6, ,
DESK7_id0_20260201142040171.csv,DESK7, ,
DESK8_id0_20260201142137193.csv,DESK8, ,
some_id0_20260202135141052.csv,some, ,
stop_id0_20260202153510827.csv,stop, ,
run_id0_20260202153915133.csv,run, ,
run_id0_20260202160406427.csv,run, ,
loadworse_id0_20260202160904905.csv,loadworse, ,
loadworse_id0_20260202161410148.csv,loadworse, ,
downsetworse_id0_20260203133722173.csv,downsetworse, ,Uploaded
downsetworse_id0_20260203134225726.csv,harddownsetworse, ,Uploaded
idle_state_id0_20260203174423118.csv,idle_state, ,
run_state_id0_20260203191911139.csv,run_state, ,
load_worse_state_id0_20260203192432320.csv,load_worse_state, ,
base_loose_state_id0_20260203192900408.csv,base_loose_state, ,
loadworse_id0_20260305193404200.csv,loadworse, ,
loadworse1_id0_20260305193509571.csv,loadworse1, ,
loadworse2_id0_20260305193624829.csv,loadworse2, ,
loadworse3_id0_20260305193726712.csv,loadworse3, ,
loadworse3_id0_20260305193847017.csv,loadworse3, ,
stop_id0_20260325170005215.csv,stop, ,
stop_id0_20260325170202462.csv,stop, ,
normal_fan_id0_20260325170711252.csv,normal_fan, ,
abnormal_base_A_id0_20260325171029441.csv,abnormal_base_A, ,
abnormal_base_B_id0_20260325175513327.csv,abnormal_base_B, ,
abnormal_base_B_id0_20260325175731439.csv,abnormal_base_B, ,
stop_id0_20260325180140241.csv,stop, ,
normal_fan_id0_20260325180620663.csv,normal_fan, ,
abnormal_base_A_id0_20260325180903709.csv,abnormal_base_A, ,
abnormal_base_B_id0_20260325181145024.csv,abnormal_base_B, ,
stop_id0_20260325203014476.csv,stop, ,
normal_fan_id0_20260325203346459.csv,normal_fan, ,
abnormal_A_id0_20260325203604953.csv,abnormal_A, ,
abnormal_B_id0_20260325203832684.csv,abnormal_B, ,
abnormal_B_id0_20260325204022159.csv,abnormal_B, ,
abnormal_C_id0_20260325204215395.csv,abnormal_C, ,
abnormal_D_id0_20260325204535444.csv,abnormal_D, ,
abnormal_AD_id0_20260325204934195.csv,abnormal_AD, ,
abnormal_AB_id0_20260325205429387.csv,abnormal_AB, ,
abnormal_AB_id0_20260325205805735.csv,abnormal_AB, ,
abnormal_AC_id0_20260325205826629.csv,abnormal_AC, ,
abnormal_BC_id0_20260325231242193.csv,abnormal_BC, ,
abnormal_BD_id0_20260326111508264.csv,abnormal_BD, ,
abnormal_CD_id0_20260326112005228.csv,abnormal_CD, ,
abnormal_ACD_id0_20260326112306043.csv,abnormal_ACD, ,
abnormal_ABC_id0_20260326112605919.csv,abnormal_ABC, ,
abnormal_BCD_id0_20260326112941630.csv,abnormal_BCD, ,
abnormal_ABD_id0_20260326113436143.csv,abnormal_ABD, ,
abnormal_ABD_id0_20260326113738857.csv,abnormal_ABD, ,
abnormal_fan_unbalance_id0_20260326151119203.csv,abnormal_fan_unbalance, ,
motor_stop_id0_20260328000243842.csv,motor_stop, ,
motor_runnnig_fan_id0_20260328000710609.csv,motor_runnnig_fan, ,
motor_runnnig_fan_id0_20260328001017566.csv,motor_runnnig_fan, ,
motor_runnnig_fan_unbalance_id0_20260328001050895.csv,motor_runnnig_fan_unbalance, ,
motor_base_fault_level_low_id0_20260328001524920.csv,motor_base_fault_level_low, ,
motor_base_fault_level_low_id0_20260328001719796.csv,motor_base_fault_level_low, ,
motor_base_fault_level_low_id0_20260328001938902.csv,motor_base_fault_level_low, ,
motor_base_fault_level_low_id0_20260328002144908.csv,motor_base_fault_level_low, ,
motor_base_fault_level_medium_id0_20260328002606798.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_medium_id0_20260328002737652.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_medium_id0_20260328002918921.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_medium_id0_20260328003133475.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_medium_id0_20260328003430938.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_medium_id0_20260328003635431.csv,motor_base_fault_level_medium, ,
motor_base_fault_level_high_id0_20260328003848008.csv,motor_base_fault_level_high, ,
motor_base_fault_level_high_id0_20260328004029065.csv,motor_base_fault_level_high, ,
motor_base_fault_level_high_id0_20260328004223658.csv,motor_base_fault_level_high, ,
motor_base_fault_level_high_id0_20260328004506896.csv,motor_base_fault_level_high, ,
