Data file,Class name,Sample rate,Status
motor_stop_id0_20260328000243842.csv,motor_stop, ,Uploaded
motor_runnnig_fan_id0_20260328000710609.csv,motor_runnnig_fan, ,Uploaded
motor_runnnig_fan_unbalance_id0_20260328001050895.csv,motor_runnnig_fan_unbalance, ,Uploaded
motor_base_fault_level_low_id0_20260328001524920.csv,motor_base_fault_level_low, ,Uploaded
motor_base_fault_level_low_id0_20260328001719796.csv,motor_base_fault_level_low, ,Uploaded
motor_base_fault_level_low_id0_20260328001938902.csv,motor_base_fault_level_low, ,Uploaded
motor_base_fault_level_low_id0_20260328002144908.csv,motor_base_fault_level_low, ,Uploaded
motor_base_fault_level_medium_id0_20260328002606798.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_medium_id0_20260328002737652.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_medium_id0_20260328002918921.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_medium_id0_20260328003133475.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_medium_id0_20260328003430938.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_medium_id0_20260328003635431.csv,motor_base_fault_level_medium, ,Uploaded
motor_base_fault_level_high_id0_20260328003848008.csv,motor_base_fault_level_high, ,Uploaded
motor_base_fault_level_high_id0_20260328004029065.csv,motor_base_fault_level_high, ,Uploaded
motor_base_fault_level_high_id0_20260328004223658.csv,motor_base_fault_level_high, ,Uploaded
motor_base_fault_level_high_id0_20260328004506896.csv,motor_base_fault_level_high, ,Uploaded
